comment,emotion,etiqueta
,Positivo,Expression of personal feelings
,Positivo,Comparison
,Negativo,Expression of personal feelings
,Negativo,Comparison
,Negativo,Insult
,Negativo,Expression of personal feelings
,Positivo,Expression of personal feelings
,Neutral,Expression of personal feelings
,Positivo,Comparison
,Negativo,Expression of personal feelings
,Positivo,Compliment
,Positivo,Advice request
,Positivo,Speculation
,Negativo,Expression of personal feelings
,Positivo,Desires
,Positivo,Greetings
,Positivo,Compliment
,Positivo,Expression of personal feelings
,Negativo,Expression of personal feelings
,Negativo,Comparison
,Negativo,Expression of personal feelings
,Negativo,Advice request
,Neutral,Expression of personal feelings
,Negativo,Medical treatment
,Neutral,Comparison
,Positivo,Thanking
,Positivo,Compliment
,Positivo,Expression of personal feelings
,Positivo,Comparison
,Negativo,Comparison
,Neutral,Expression of personal feelings
,Neutral,Advice Give
,Positivo,Comparison
,Neutral,Expression of personal feelings
,Positivo,Thanking
,Negativo,Comparison
,Positivo,Expression of personal feelings
,Negativo,Expression of personal feelings
,Positivo,Comparison
,Positivo,Compliment
,Negativo,Expression of personal feelings
,Negativo,Expression of personal feelings
,Negativo,Comparison
,Positivo,Criticism
,Negativo,Medical treatment
,Negativo,Expression of personal feelings
,Negativo,Comparison
,Negativo,Comparison
,Negativo,Comparison
,Negativo,Medical treatment
,Neutral,Compliment
,Positivo,Expression of personal feelings
,Negativo,Compliment
,Positivo,Expression of personal feelings
,Neutral,Expression of personal feelings
,Neutral,Expression of personal feelings
,Negativo,Comparison
,Neutral,Comparison
,Positivo,Expression of personal feelings
,Positivo,Expression of personal feelings
,Positivo,Greetings
,Positivo,Expression of personal feelings
,Positivo,Expression of personal feelings
,Positivo,Expression of personal feelings
,Positivo,Expression of personal feelings
,Positivo,Comparison
,Positivo,Expression of personal feelings
,Positivo,Desires
,Positivo,Compliment
,Positivo,Comparison
,Positivo,Compliment
,Positivo,Thanking
,Positivo,Compliment
,Positivo,Expression of personal feelings
,Positivo,Thanking
,Positivo,Desires
,Negativo,Expression of personal feelings
,Negativo,Speculation
,Positivo,Expression of personal feelings
,Positivo,Thanking
,Negativo,Comparison
,Positivo,Comparison
,Positivo,Insult
,Negativo,Expression of personal feelings
,Negativo,Comparison
,Negativo,Comparison
,Positivo,Insult
,Positivo,Thanking
,Negativo,Expression of personal feelings
,Positivo,Desires
,Positivo,Thanking
,Negativo,Compliment
,Positivo,Expression of personal feelings
,Neutral,Expression of personal feelings
,Positivo,Expression of personal feelings
,Positivo,Expression of personal feelings
,Negativo,Comparison
,Negativo,Expression of personal feelings
,Positivo,Comparison
,Positivo,Advice request
