,BC5CDR_Terms,BC5CDR_Count,Search_Term,Content_Classification,duration_seconds,duration_seconds,comment_count,video_title,video_description,detected_language,is_live_broadcast,is_archived_live,live_actual_start_time,live_actual_end_time
Z49imcAdenI,"['insomnia', 'anxiety']",2,Reiki,"Pseudocientífico
",25860,25860,6635,Música Para Dormir Profundamente En Menos De 5 Minutos; Musica Relajante Para Dormir #10,"Música Para Dormir Profundamente En Menos De 5 Minutos; Musica Relajante Para Dormir #10

🌞 Suscríbete para estar al día de todas nuestras publicaciones: 
https://bit.ly/3iWB34Z

🌿Música para relajarse, meditar, estudiar, leer, masajes, spa o dormir. Esta música es perfecta para combatir la ansiedad, el stress o el insomnio ya que facilita la relajación y nos ayuda a eliminar las malas vibraciones. También pueden utilizar esta música como fondo para clases de meditaciones guiadas o relajaciones para dormir.

🌿Bienvenidos a un nuevo directo de música relajante en el canal de Helios Piano. Pueden dejar el vídeo a poco volumen y empezar a realizar cualquier tarea como estudiar, trabajar, leer.. o simplemente relajarse o dormir profundamente.

🌿Si les gustó el directo y quieren más contenido de música relajante, no olviden darle a me gusta.
Namaste

Música para:
Relajación y Meditación. 
Meditaciones guiadas.
Relajaciones para dormir.
Calmar y controlar la ansiedad.
Conciliar el sueño y dormir mejor. 
Estudiar.
Sesiones de yoga, reiki, spa, masajes..
Realizar tareas.
Bienestar.
_______________________________________________________________________

🌞 Suscríbete para estar al día de todas nuestras publicaciones: https://bit.ly/3iWB34Z

🌙 Siga Helios Record para un nuevo lanzamiento cada semana:
➤ Spotify: https://spoti.fi/2OgiA6M
➤ SoundCloud: https://bit.ly/1V3lGKg
➤Youtube: https://bit.ly/2BQ5Y3D
➤ Instagram: https://bit.ly/2Zjztnc
➤ Facebook: https://bit.ly/2ZhUKgV

--------------------------------------------------------------------------------------
¿Que puedes encontrar en nuestro canal?
🌿En nuestro canal podrás encontrar música relajante para: dormir, meditación, yoga, zen, spa, masajes, estudiar y concentrarse...

🌿Para mejorar la relajación y la concentración nuestra música cuenta con ondas cerebrales como: ondas alfa, ondas beta, ondas delta y ondas theta. 

🌿También podrás trasladarte a otras culturas, ya que contamos con  música chamánica, música india, música china, música tibetana con cuencos tibetanos,....

No olvides suscribirte para estar al día de nuevas publicaciones.

🌞 Para contactar y enviar música :(relax@wondermusic.us or channel@wondermusic.us)

©️ Todos los derechos pertenecen a Helios Piano.

#MusicaParaDormir#MusicaRelajante#Musicapiano#RelajaciónyMeditación",es,False,False,,
xDZglyqYzlg,"['migraine', 'anxiety disorders', 'insomnia', 'depression']",4,Reiki,"Pseudocientífico
",7916,7916,10555,LA FRECUENCIA MÁS PODEROSA DEL UNIVERSO - SENTIRAS A DIOS DENTRO DE TI SANANDO TODA TU VIDA #17,"LA FRECUENCIA MÁS PODEROSA DEL UNIVERSO - SENTIRAS A DIOS DENTRO DE TI SANANDO TODA TU VIDA 999 Hz #17

Este canal se trata de curar su mente, alma, cuerpo, trastornos de ansiedad, problema del sueño, depresión, insomnio, enfoque, migraña, estrés, agricultura y muchos más. Si desea encontrar los secretos del universo, piense en términos de energía, frecuencia y vibración. Del mismo modo, en este canal estamos aquí para ayudarlo con energía positiva, curación de frecuencias y vibra a través de la ayuda de la música. En nuestra música generalmente usamos ritmos binaurales, tonos isocrónicos, afirmaciones subliminales y biokinesis para inspirar a las personas al despertar de la vida, el iluminación y mucho más. (Lucid Dreaming Music) también incluye música para dormir, música de relajación, música de meditación, música tibetana, música para tazón, música chamánica, música curativa, música de estudio, música de reiki, música zen, música de spa/masaje y música de yoga.

Recuerde suscribirse si desea mostrarle amor y apoyarnos. Creemos que Chan encuentra una gran cantidad de valor aquí 🙏💖

Todos los videos y audios son originales exclusivos de Lucid Dreaming Music

(Cualquier reproducción de este audio y video está estrictamente prohibida).

-------------------------------------------------- -----------------------------------

📧 Para contactar y enviar música: piano@heliosrecord.com 


963 HZ,963hz,963,LA FRECUENCIA DE DIOS,ATRAER ABUNDANCIA,PROSPERIDAD,BENDICIONES DE LA MADRE CÓSMICA,meditation music,meditation,ivan Donalson,ley de atracción,numerología,el secreto,hipnosis,decreto,decretos,Cuarzo,cuarzos,amatista,moldavita,lapizlazuli,extraterrestres,ovnis,kundalini,magia,portal estelar,glandula pineal,tercer ojo,meditación,meditaciones,maestros ascendidos,saint germain,llama violeta,frecuencia binaural,audio subliminal,Lucide Dreaming Music",es,True,True,2024-02-06T10:59:44Z,2024-02-06T13:11:51Z
Ontdnj54wnI,"['insomnia', 'depression', 'COME', 'migraine', 'anxiety disorders']",5,Reiki,"Pseudocientífico
",11276,11276,11736,"SI ESTE VIDEO APARECE EN TU VIDA, TODA LA BENDICIÓN DEL UNIVERSO LLEGARÁ A TI - AMOR, SALUD #13","SI ESTE VIDEO APARECE EN TU VIDA, TODA LA BENDICIÓN DEL UNIVERSO LLEGARÁ A TI - AMOR, SALUD #13
Este canal se trata de curar su mente, alma, cuerpo, trastornos de ansiedad, problema del sueño, depresión, insomnio, enfoque, migraña, estrés, agricultura y muchos más. Si desea encontrar los secretos del universo, piense en términos de energía, frecuencia y vibración. Del mismo modo, en este canal estamos aquí para ayudarlo con energía positiva, curación de frecuencias y vibra a través de la ayuda de la música. En nuestra música generalmente usamos ritmos binaurales, tonos isocrónicos, afirmaciones subliminales y biokinesis para inspirar a las personas al despertar de la vida, el iluminación y mucho más. (Lucid Dreaming Music) también incluye música para dormir, música de relajación, música de meditación, música tibetana, música para tazón, música chamánica, música curativa, música de estudio, música de reiki, música zen, música de spa/masaje y música de yoga.

Recuerde suscribirse si desea mostrarle amor y apoyarnos. Creemos que Chan encuentra una gran cantidad de valor aquí 🙏💖

Todos los videos y audios son originales exclusivos de Lucid Dreaming Music

(Cualquier reproducción de este audio y video está estrictamente prohibida).

-------------------------------------------------- -----------------------------------

📧 Para contactar y enviar música: piano@heliosrecord.com",es,True,True,2024-01-09T11:00:06Z,2024-01-09T14:08:08Z
gEqD0TvugzY,[],0,Reiki,"Pseudocientífico
",991,991,4387,"Doña Rosa spiritual cleansing ASMR Massage (limpia espiritual, ohorai, 精神淨化 , おはらい, التطهير الروحي)","Welcome to our channel 👋
In this video, Alejandra receives a ""limpia espiritual"" (spiritual cleansing) with a head massage, back massage, and neck massage from Doña Rosa. Traditional healers like Doña Rosalia do spiritual cleansings and massages to cleanse the body of negative energy, relieve stress, and promote good health. I hope you enjoy this natural ASMR trigger

We use the fragrant smoke from the sacred Palo Santo tree to set the stage for our videos, as well as to cleanse our own home. Palo Santo is available on Amazon if you would like to give it a try 👉 https://amzn.to/36vpyNg 

If you like what you see, please join us on social media, we'd love to get to know you better!
► Patreon 👉  https://www.patreon.com/ecuadorlive  
► Facebook (@ecualive) 👉  https://www.facebook.com/ecualive/
► Instagram (@ecuador.live) 👉  https://www.instagram.com/ecuador.live/

Would you like to support any of our team members directly? You can make a donation here (he/she will send a personalized acknowledgement): https://www.paypal.me/EcuadorLive

More ASMR massage and spiritual cleansing (limpia) videos with Doña Rosa: 👉 https://www.youtube.com/playlist?list=PLPps__5u3mYHbnsHFc1oBpPy6UL8n-2kZ

Note: we do participate in the Amazon affiliate program as a means of supporting our channel, so we may receive a small percentage of any purchases made after clicking these links (at no extra cost to you) We do appreciate any support and we share any revenue our channel makes with all of our team members 😊

#limpia #asmr #massage  #DoñaRosa #spiritualcleansing #neckmassage #neckcracking #आध्यात्मिक सफाई #영적정화 #pembersihan #ohorai #音フェチ",en,False,False,,
bbzef52HNM0,[],0,Reiki,"Pseudocientífico
",4564,4564,1267,"Musica Para Dormir | Las Ondas Alfa Curan Todo El Cuerpo, Física, Mental y Curación Espiritual","#sleepmusic #meditationmusic #TranquilSerenity
Musica Para Dormir | Las Ondas Alfa Curan Todo El Cuerpo, Física, Mental y Curación Espiritual
¡Bienvenido a nuestro canal de YouTube! Ofrecemos música de relajación y meditación de alta calidad para ayudar a reducir el estrés y mejorar su estado de ánimo. Con una combinación de melodías relajantes y sonidos de la naturaleza, lo ayudaremos a relajarse y descansar.

Utilizamos diferentes estilos de música, como música clásica, oceánica y tranquila para crear música relajante y meditativa única. Ya sea que necesite un poco de relajación después de un día estresante en el trabajo o desee concentrarse más mientras estudia o trabaja, esperamos que nuestro canal de YouTube lo ayude a lograr sus objetivos.

🌿 Música de Helios Records:
https://linktr.ee/heliosrecords

-------------------------------------------------- - -----------

►Todos los derechos reservados.
✔ Este video tiene una licencia especial directamente del artista y titular de los derechos de autor"".🌱🌞💕💗",es,True,True,2024-06-22T16:31:04Z,2024-06-22T17:47:08Z
WN89dOx_KVo,['Melatonin'],1,Reiki,"Pseudocientífico
",7079,7079,508,"Música Reiki | Elimina Estrés, Liberación De Melatonina Y Toxina | Calmar La Mente Y Alma #10","Música Reiki | Elimina Estrés, Liberación De Melatonina Y Toxina | Calmar La Mente Y Alma #10

Esta es una meditación que puedes hacer en cualquier momento. Cada frecuencia en esta  meditación corresponde a un chakra diferente. El objetivo de esta meditación es limpiar tu aura, olvidar los pensamientos negativos y sanar los siete chakras utilizando el sonido como herramienta de sanación.

#músicareiki
#reduceelestrés
#músicademeditación
-------------------------------------------------- ----------------
  🌿Bienvenidos a nueva música relajante en vivo en el canal Healing Your Mind
Puedes ajustar el volumen del vídeo y empezar a hacer lo que quieras como estudiar, trabajar, leer... o simplemente relajarte o dormir bien.

🌿 Si te encanta el programa y quieres escuchar música más relajante, no olvides darle me gusta.
🎬 Software de edición de video: Adobe Premiere Pro CC.
🎬 Software de edición de video: Adobe After Effects Pro CC
📷 Software de edición de fotos: Photoshop CC

🎶 ¿Qué puedes encontrar en nuestro canal?

En nuestro canal puedes encontrar música relajante para: dormir, meditar, yoga, zen, spa, masajes, estudiar y concentrarte…

👉 Si te gusta la música de este video, dale me gusta, suscríbete y comparte con más amigos.

Muchas gracias por escuchar. ¡Disfruta de música relajante, para dormir, para meditar y que tengas un día o una noche maravillosos!

¡No olvides suscribirte, darle me gusta y compartir mis videos si te gusta! ¡Que tenga un lindo día!
-------------------------------------------------- -----
►Todos los derechos pertenecen a sus respectivos dueños.
✔ Este video recibió una licencia especial directamente de los artistas y los titulares de losderechos.",es,True,True,2024-05-18T15:01:38Z,2024-05-18T16:59:42Z
nlUktkF6Dyk,"['anxiety', 'Melatonin']",2,Reiki,"Pseudocientífico
",6659,6659,1235,"432hz - El sonido zen tibetano cura todo el cuerpo, curación emocional, mental y espiritual #14","432hz - El sonido zen tibetano cura todo el cuerpo, curación emocional, mental y espiritual #14

Bienvenidos a una nueva transmisión en vivo de música relajante en el canal Healing Your Mind. Puedes dejar el vídeo a bajo volumen y empezar a realizar cualquier tarea como estudiar, trabajar, leer... o simplemente relajarte o dormir tranquilamente.

Si te gustó el show en vivo y quieres contenido musical más relajante no olvides darle me gusta.
#curandotumente #chakra #energía
-------------------------------------------------- ----------------
    🌿Bienvenidos a nueva música relajante en vivo en el canal Healing Your Mind
Podrás ajustar el volumen del vídeo y empezar a hacer lo que quieras como estudiar, trabajar, leer... o simplemente relajarte o dormir bien.

🎼 MISIÓN 🎵
Relajación y Meditación.
Meditaciones guiadas.
Relajaciones para dormir.
Calmar y controlar la ansiedad.
Conciliar el sueño y dormir mejor.
Para estudiar.
Sesiones de yoga, reiki, spa, masajes...
Haz las tareas.
Bienestar.

🌿 Si te encanta el programa y quieres escuchar música más relajante, no olvides darle me gusta.
🎬 Software de edición de vídeo: Adobe Premiere Pro CC.
🎬 Software de edición de vídeo: Adobe After Effects Pro CC
📷 Software de edición de fotografías: Photoshop CC
🎶 ¿Qué puedes encontrar en nuestro canal?

En nuestro canal podrás encontrar música relajante para: dormir, meditar, yoga, zen, spa, masajes, estudiar y concentrarse...

👉 Si te gusta la música de este vídeo, dale me gusta, suscríbete y compártelo con más amigos.

Muchas gracias por escuchar. ¡Disfruta de la música para relajarte, dormir, meditar y que tengas un día o una noche maravillosos!

¡No olvides suscribirte, darle me gusta y compartir mis videos si te gustan! ¡Que tenga un lindo día!
-------------------------------------------------- -----
►Todos los derechos pertenecen a sus respectivos dueños.
✔ Este video recibió una licencia especial directamente de los artistas y titulares de derechos.",es,True,True,2024-06-08T15:02:50Z,2024-06-08T16:53:49Z
8sOojxlfqxk,[],0,Reiki,"Pseudocientífico
",1600,1600,2715,"MARTHA ♥ PANGOL, ASMR Neck & Shoulder massage, Spiritual cleansing, Pembersihan Reiki","Become a channel member and receive exclusive benefits:
https://www.youtube.com/channel/UCc0M5n4tT_uwAiXeCoxC0jg/join

  Instagram Alfredo Uno:         ungerhoferalfred             

Hi I am a model for Alfredo Uno and I loved my experience in las limpias! I was very comfortable and all the women were super kind to me. Afterwards, I felt revitalized and came out a brand new person! Overall, fantastic experience and I would recommend to anyone who is interested! Love the video too❤

Limpia espiritual y masaje antiestrés con montes y huevo para sacar las malas energías y relajar el cuerpo y la mente.
SUSCRÍBANSE A MI CANAL PARA QUE NO SE PIERDAN MIS PRÓXIMOS VÍDEOS. 
Info: alfred_susana@yahoo.com",en,False,False,,
JV4JbYK-TIg,"['migraine', 'anxiety disorders', 'insomnia', 'depression']",4,Reiki,"Pseudocientífico
",12777,12777,1302,1111Hz Conéctate con el universo - Recibe guía del universo - Atrae energías mágicas y curativas #2,"1111Hz Conéctate con el universo - Recibe guía del universo - Atrae energías mágicas y curativas #2

Este canal se trata de curar su mente, alma, cuerpo, trastornos de ansiedad, problema del sueño, depresión, insomnio, enfoque, migraña, estrés, agricultura y muchos más. Si desea encontrar los secretos del universo, piense en términos de energía, frecuencia y vibración. Del mismo modo, en este canal estamos aquí para ayudarlo con energía positiva, curación de frecuencias y vibra a través de la ayuda de la música. En nuestra música generalmente usamos ritmos binaurales, tonos isocrónicos, afirmaciones subliminales y biokinesis para inspirar a las personas al despertar de la vida, el iluminación y mucho más. (Lucid Dreaming Music) también incluye música para dormir, música de relajación, música de meditación, música tibetana, música para tazón, música chamánica, música curativa, música de estudio, música de reiki, música zen, música de spa/masaje y música de yoga.

Recuerde suscribirse si desea mostrarle amor y apoyarnos. Creemos que Chan encuentra una gran cantidad de valor aquí 🙏💖

Todos los videos y audios son originales exclusivos de Lucid Dreaming Music

(Cualquier reproducción de este audio y video está estrictamente prohibida).

-------------------------------------------------- -----------------------------------

📧 Para contactar y enviar música: piano@heliosrecord.com",es,True,True,2024-01-31T10:59:36Z,2024-01-31T14:32:37Z
6dNv4QQV-2U,"['selenite', 'Selenite', 'Smoke', 'smoke']",4,Reiki,"Pseudocientífico
",3356,3356,1336,"ASMR Reiki: Release the Ego Mind + Negative Thoughts (Hand Movements, Singing Bowl, Rain Sounds)","0:00 Smoke Cleanse
5:55 Selenite Body Scan + Massage 
15:50 Hand Movements 
22:45 Tarot Reading
34:14 Singing Bowl 

In this reiki session, I will cleanse your energetic field with a smoke cleanse, followed by a relaxing selenite massage and body scan. We will then pull some cards and contemplate about the idea that perhaps we are more than just our minds and thoughts, all with the intention to detach from negative thoughts and return to calm awareness. Afterwards, you will be guided into sleep with a singing bowl. Hope you enjoy! Much love, Ediya 💛

*Wear Headphones*

Work with me → https://ediyasmr.com
‣ Learn shadow work, release repressed energy and work with the subconscious

Join my Patreon → https://patreon.com/ediyasmr 

Email → hello@ediyasmr.com
Instagram → https://www.instagram.com/ediyasmr/

Facebook → https://www.facebook.com/the.intuitiv...
Insight Timer → https://insighttimer.com/ediya.daulet
TikTok → https://www.tiktok.com/@ediya.daulet?...

Donations → https://www.paypal.com/cgi-bin/webscr...

DISCLAIMERS
**Medical Disclaimer: I am not a healthcare professional. This video is created for relaxation, entertainment and ASMR/tingles inducing purposes only. For more information about ASMR phenomenon please click here: 
https://en.wikipedia.org/wiki/Autonom...

This video cannot replace any medication or professional treatment. If you have any health conditions please consult your health-care provider.",en,False,False,,
